crime_rate,police_funding,hs_education,highschool_dropouts,college_education
478,40,74,11,20
494,32,72,11,18
643,57,70,18,16
341,31,71,11,19
773,67,72,9,24
603,25,68,8,15
484,34,68,12,14
546,33,62,13,11
424,36,69,7,12
548,31,66,9,15
506,35,60,13,9
819,30,81,4,36
541,44,66,9,12
491,32,67,11,16
514,30,65,12,11
371,16,64,10,14
457,29,64,12,10
437,36,62,7,27
570,30,59,15,16
432,23,56,15,15
619,33,46,22,8
357,35,54,14,13
623,38,54,20,11
547,44,45,26,8
792,28,57,12,11
799,35,57,9,18
439,31,61,19,12
867,39,52,17,10
912,27,44,21,9
462,36,43,18,8
859,38,48,19,10
805,46,57,14,12
652,29,47,19,9
776,32,50,19,9
919,39,48,16,11
732,44,49,13,14
657,33,72,13,22
1419,43,59,14,13
989,22,49,9,13
821,30,54,13,12
1740,86,62,22,15
815,30,47,17,11
760,32,45,34,10
936,43,48,26,12
863,20,69,23,12
783,55,42,23,11
715,44,49,18,12
1504,37,57,15,13
1324,82,72,22,16
940,66,67,26,16
