habitat,sex
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,female
still,male
still,male
still,male
still,male
still,male
still,male
still,male
still,male
still,male
still,male
still,male
still,male
still,male
still,male
still,male
still,male
still,male
still,male
still,male
still,male
still,male
still,male
still,male
still,male
still,male
still,male
still,male
still,male
still,male
still,male
still,male
still,male
still,male
still,male
still,male
still,male
still,male
still,male
flow,female
flow,female
flow,female
flow,female
flow,female
flow,female
flow,female
flow,female
flow,female
flow,female
flow,female
flow,female
flow,female
flow,female
flow,female
flow,female
flow,female
flow,female
flow,female
flow,female
flow,female
flow,female
flow,female
flow,female
flow,female
flow,female
flow,female
flow,female
flow,female
flow,female
flow,female
flow,female
flow,female
flow,female
flow,female
flow,female
flow,female
flow,female
flow,female
flow,female
flow,female
flow,female
flow,female
flow,female
flow,female
flow,female
flow,female
flow,female
flow,female
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
flow,male
